Total Nacional;Comunidades y Ciudades Autónomas;Edad de la madre;Tipo de dato;Periodo;Total
Total Nacional;13 Madrid, Comunidad de;Todas las edades;Dato base;2022M12;4.307
Total Nacional;13 Madrid, Comunidad de;Todas las edades;Dato base;2022M11;4.461
Total Nacional;13 Madrid, Comunidad de;Todas las edades;Dato base;2022M10;4.513
Total Nacional;13 Madrid, Comunidad de;Todas las edades;Dato base;2022M09;4.439
Total Nacional;13 Madrid, Comunidad de;Todas las edades;Dato base;2022M08;4.423
Total Nacional;13 Madrid, Comunidad de;Todas las edades;Dato base;2022M07;4.508
Total Nacional;13 Madrid, Comunidad de;Todas las edades;Dato base;2022M06;4.642
Total Nacional;13 Madrid, Comunidad de;Todas las edades;Dato base;2022M05;4.410
Total Nacional;13 Madrid, Comunidad de;Todas las edades;Dato base;2022M04;4.152
Total Nacional;13 Madrid, Comunidad de;Todas las edades;Dato base;2022M03;4.329
Total Nacional;13 Madrid, Comunidad de;Todas las edades;Dato base;2022M02;3.907
Total Nacional;13 Madrid, Comunidad de;Todas las edades;Dato base;2022M01;4.291
Total Nacional;13 Madrid, Comunidad de;Todas las edades;Dato base;2021M12;4.295
Total Nacional;13 Madrid, Comunidad de;Todas las edades;Dato base;2021M11;4.299
Total Nacional;13 Madrid, Comunidad de;Todas las edades;Dato base;2021M10;4.382
Total Nacional;13 Madrid, Comunidad de;Todas las edades;Dato base;2021M09;4.654
Total Nacional;13 Madrid, Comunidad de;Todas las edades;Dato base;2021M08;4.487
Total Nacional;13 Madrid, Comunidad de;Todas las edades;Dato base;2021M07;4.798
Total Nacional;13 Madrid, Comunidad de;Todas las edades;Dato base;2021M06;4.437
Total Nacional;13 Madrid, Comunidad de;Todas las edades;Dato base;2021M05;4.265
Total Nacional;13 Madrid, Comunidad de;Todas las edades;Dato base;2021M04;4.165
Total Nacional;13 Madrid, Comunidad de;Todas las edades;Dato base;2021M03;4.475
Total Nacional;13 Madrid, Comunidad de;Todas las edades;Dato base;2021M02;3.602
Total Nacional;13 Madrid, Comunidad de;Todas las edades;Dato base;2021M01;3.507
Total Nacional;13 Madrid, Comunidad de;Todas las edades;Dato base;2020M12;3.271
Total Nacional;13 Madrid, Comunidad de;Todas las edades;Dato base;2020M11;3.919
Total Nacional;13 Madrid, Comunidad de;Todas las edades;Dato base;2020M10;4.583
Total Nacional;13 Madrid, Comunidad de;Todas las edades;Dato base;2020M09;4.664
Total Nacional;13 Madrid, Comunidad de;Todas las edades;Dato base;2020M08;4.612
Total Nacional;13 Madrid, Comunidad de;Todas las edades;Dato base;2020M07;4.705
Total Nacional;13 Madrid, Comunidad de;Todas las edades;Dato base;2020M06;4.541
Total Nacional;13 Madrid, Comunidad de;Todas las edades;Dato base;2020M05;4.686
Total Nacional;13 Madrid, Comunidad de;Todas las edades;Dato base;2020M04;4.347
Total Nacional;13 Madrid, Comunidad de;Todas las edades;Dato base;2020M03;4.430
Total Nacional;13 Madrid, Comunidad de;Todas las edades;Dato base;2020M02;3.994
Total Nacional;13 Madrid, Comunidad de;Todas las edades;Dato base;2020M01;4.605
Total Nacional;13 Madrid, Comunidad de;Todas las edades;Dato base;2019M12;4.332
Total Nacional;13 Madrid, Comunidad de;Todas las edades;Dato base;2019M11;4.556
Total Nacional;13 Madrid, Comunidad de;Todas las edades;Dato base;2019M10;4.826
Total Nacional;13 Madrid, Comunidad de;Todas las edades;Dato base;2019M09;4.699
Total Nacional;13 Madrid, Comunidad de;Todas las edades;Dato base;2019M08;4.744
Total Nacional;13 Madrid, Comunidad de;Todas las edades;Dato base;2019M07;4.958
Total Nacional;13 Madrid, Comunidad de;Todas las edades;Dato base;2019M06;4.631
Total Nacional;13 Madrid, Comunidad de;Todas las edades;Dato base;2019M05;4.786
Total Nacional;13 Madrid, Comunidad de;Todas las edades;Dato base;2019M04;4.699
Total Nacional;13 Madrid, Comunidad de;Todas las edades;Dato base;2019M03;4.560
Total Nacional;13 Madrid, Comunidad de;Todas las edades;Dato base;2019M02;4.245
Total Nacional;13 Madrid, Comunidad de;Todas las edades;Dato base;2019M01;4.705
