mes,año,contam_media
enero,2019,62.7
febrero,2019,61.9
marzo,2019,61.7
abril,2019,61.6
mayo,2019,61.0
junio,2019,60.9
julio,2019,60.8
agosto,2019,60.1
septiembre,2019,61.3
octubre,2019,61.9
noviembre,2019,61.8
diciembre,2019,62.2
enero,2020,62.3
febrero,2020,61.2
marzo,2020,59.5
abril,2020,57.3
mayo,2020,58.7
junio,2020,60.0
julio,2020,60.3
agosto,2020,59.4
septiembre,2020,60.2
octubre,2020,60.8
noviembre,2020,60.9
diciembre,2020,60.7
enero,2021,60.2
febrero,2021,60.6
marzo,2021,60.2
abril,2021,60.5
mayo,2021,60.2
junio,2021,60.5
julio,2021,60.0
agosto,2021,59.1
septiembre,2021,60.3
octubre,2021,60.2
noviembre,2021,60.7
diciembre,2021,60.8
enero,2022,60.6
febrero,2022,60.1
marzo,2022,61.9
abril,2022,61.2
mayo,2022,60.7
junio,2022,60.6
julio,2022,60.6
agosto,2022,59.5
septiembre,2022,61.3
octubre,2022,61.3
noviembre,2022,62.4
diciembre,2022,62.0
